facebook_name,facebook_id,facebook_likes,facebook_talking_about_count,facebook_category,facebook_url
PAOK Saloniki,150341388360953,9707,6,Sports Team,https://www.facebook.com/PAOK-Saloniki-150341388360953/
PAS GIANNINA FC,11545163649,19880,9,Sports Team,https://www.facebook.com/PAS-GIANNINA-FC-11545163649/
PEC Zwolle,651740814923573,32297,1877,Sports Team,https://www.facebook.com/peczwolle/
PSV Eindhoven Fans,425428140834316,27816,1005,Sports Team,https://www.facebook.com/PSV-Eindhoven-Fans-425428140834316/
Paksi Cawangan Kuala Kedah Alor Setar,160280514062681,2780,1,Non-Governmental Organization (NGO),https://www.facebook.com/PaksiASKK/
Panathinaikos BC,213376272021124,381476,14928,Sports Team,https://www.facebook.com/paobcgr/
Pandurii Targu Jiu,219158771510494,31483,661,Local Business,https://www.facebook.com/panduriics/
Panetolikos FC / ΠΑΕ Παναιτωλικός,145147218901878,12992,69,Sports Team,https://www.facebook.com/panetolikos.gr/
Πανιώνιος ΓΣΣ,137444432984688,3735,631,Sports Team,https://www.facebook.com/PanioniosGSS1890/
PSG - Paris Saint-Germain,139594698297,28183127,208125,Performance & Event Venue,https://www.facebook.com/PSG/
Partick Thistle Football Club,208968199167913,10239,979,Sports Team,https://www.facebook.com/partickthistlefc/
FC Paços de Ferreira,131019586042,77017,438,Sports Team,https://www.facebook.com/fcpf.pt/
Pescara Calcio,230864470334776,128377,1422,Sports Team,https://www.facebook.com/delfinopescara1936/
Piast Gliwice,147755651929822,26330,1835,Sports Team,https://www.facebook.com/PiastGliwice/
Doctor Kostantinos Filias, Platanias, Crete,736463746433203,4328,1,Doctor,https://www.facebook.com/doctorplatanias/
Pogoń Szczecin,311863008903967,155114,6930,Stadium, Arena & Sports Venue,https://www.facebook.com/PogonSA/
RB Leipzig,141767849201408,293174,22001,Sports Team,https://www.facebook.com/rbleipzig/
raumbau architekten,143407634112,4348,13,Company,https://www.facebook.com/rb.architekten/
RNK SPLIT,1550460321869654,17445,7,Sports Club,https://www.facebook.com/Splitnogometniklub/
RSC Anderlecht,8459928910,1035578,42875,Sports Team,https://www.facebook.com/rsca.be/
Randers FC,147882701918553,31185,1140,Sports Team,https://www.facebook.com/RandersFC/
Rangers FC,114826188534692,96291,0,Sports Team,https://www.facebook.com/pages/Rangers-FC/114826188534692
