team_name,team_tw_name,tw_id,url,created_at,followers,statuses
Lechia Gdańsk,LechiaGdanskSA,481937059,https://t.co/gv9a9ebgLJ,2012-02-03,17141,11481
Leeds United,LUFC,1024095475,https://t.co/nhUedHazge,2012-12-20,270633,28938
Legia Warszawa,LegiaWarszawa,55007258,https://t.co/qqN7if8GLy,2009-07-08,205475,42303
Leicester City,LCFC,122392884,https://t.co/CCudk09nv4,2010-03-12,965738,37190
Levadiakos,Levadiakos_FC,742273012821561344,https://t.co/62svP3CEfa,2016-06-13,65,0
Levante UD,LevanteUD,34743419,https://t.co/MU6po8mBXu,2009-04-23,276142,48798
Lille OSC,losclive,288804720,https://t.co/vTqhjpXdFQ,2011-04-27,517915,33333
Liverpool FC,LFC,19583545,https://t.co/yU9gDCR7IR,2009-01-27,7196610,61887
Lokomotiv Moskva,LokomotivMoskva,226844968,http://t.co/WaYEJVHKlx,2010-12-15,9,66
Lokomotiva Zagreb,RK_LokomotivaZG,1432572030,https://t.co/nrItnrH1rI,2013-05-16,323,528
Lyngby BK,olufsphere,10652192,http://t.co/zF9osgMpwX,2007-11-27,698,20728
MFK Karvina,NaN,NaN,NaN,NaN,NaN,NaN
MFK Ružomberok,MFK_Ruzomberok,2416577246,http://t.co/s4atrf3m07,2014-03-28,376,2366
MFK Zemplin Michalovce,Toni33Garcia,293046596,None,2011-05-04,1056,2466
MTK Budapest,IstvanBeregi,462179508,https://t.co/57nSTwU7EO,2012-01-12,10684,6413
Malmö FF,Malmo_FF,106721780,http://t.co/zQFZqEZz1J,2010-01-20,49030,19611
Manchester City,ManCity,14573900,https://t.co/8B0sJYpKM7,2008-04-28,4204613,100258
Manchester United,ManUtd,558797310,https://t.co/Xbs0z481zr,2012-04-20,10837855,35703
Medipol Başakşehir F.K,NaN,NaN,NaN,NaN,NaN,NaN
Mezõkövesd-Zsóry,MezokovesdZsory,1702132070,http://t.co/W1rCF6lTJL,2013-08-26,254,1194
Middlesbrough FC,Boro,370631455,https://t.co/0e9kEOwQTR,2011-09-09,217700,40084
Montpellier HSC,FF_MHSC,232150055,http://t.co/6ETfH5fgK9,2010-12-30,4087,1793
Moreirense FC,MoreirenseFC38,596903657,None,2012-06-01,2470,3713
Motherwell FC,MotherwellFC,27919401,https://t.co/Bjxc7ts6xY,2009-03-31,27476,38823
Málaga CF,MalagaCF,48961075,http://t.co/bKZIzseT3U,2009-06-20,572067,35319
MŠK Žilina,mskzilina,55372063,http://t.co/RvLTD6BpH7,2009-07-09,986,911
NEC Nijmegen,NEC_Nijmegen,36011363,https://t.co/55spEVOW1c,2009-04-28,36644,29034
NK Inter Zaprešić,nkinterzapresic,3368651067,http://t.co/IJuuBafsyY,2015-07-10,460,519
NK Istra 1961,NKIstra1961Pula,2148767624,http://t.co/17WnpFpTTz,2013-10-22,754,2822
NK Osijek,buljubasict,19761787,http://t.co/ltCexTtAg6,2009-01-30,648,2799
Newcastle United,NUFC,35758259,https://t.co/UcFDD5yI47,2009-04-27,1018784,44077
Norwich City,NorwichCityFC,187572312,http://t.co/EX0UyEdR73,2010-09-06,473067,54079
Nottingham Forest,NFFC,39754653,http://t.co/iqHHHlsu60,2009-05-13,218930,22968
Novara Calcio,NovaraChannel,604785244,https://t.co/H6rJUwnGfb,2012-06-10,9232,36247
Nîmes Olympique,nimesolympique,81313583,https://t.co/KI84N0Kduc,2009-10-10,36076,13647
OGC Nice,ogcnice,329683737,https://t.co/jEMGqHZl5K,2011-07-05,258082,21504
Odense BK,NaN,NaN,NaN,NaN,NaN,NaN
Olympiakos Piräus,NaN,NaN,NaN,NaN,NaN,NaN
Olympique Lyon,OlympiqueLyon_,1516495892,None,2013-06-14,5249,5615
Olympique Marseille,OM_Officiel,40448264,https://t.co/cb5aPqqLPJ,2009-05-16,1952643,74271
Os Belenenses,CFosBelenenses,163138175,http://t.co/fhc0d0VNHA,2010-07-05,16728,7626
Osmanlıspor FK,OSMANLISPOR_FK,597409881,https://t.co/0VncfO5p09,2012-06-02,24101,2222
